icon,"name ",cách đạt được
Achievement_Timber!!.png,Timber!!,Chặt đổ cây đầu tiên
Achievement_No_Hobo.png,No Hobo,"Xây ngôi nhà đầu tiên phù hợp để NPC đầu tiên của thị trấn, như người hướng dẫn chuyển đến "
Achievement_Stop!_Hammer_Time!.png,Stop! Hammer Time!,Nhận được chiếc búa đầu tiên của bạn thông qua chế tạo hoặc cách khác
Achievement_Ooo!_Shiny!.png,Ooo! Shiny! ,Khai thác cục quặng đầu tiên của bạn bằng cuốc chim
Achievement_Heart_Breaker.png,Heart Breaker,Khám phá và đập vỡ viên pha lê trái tim đầu tiên của bạn dưới lòng đất
Achievement_Heavy_Metal.png,Heavy Metal,Chế tạo một cái đe làm bằng sắt hoặc chì
Achievement_I_Am_Loot!.png,I Am Loot!,"Mở rương dưới lòng đất "
Achievement_Star_Power.png,Star Power,Chế tạo một tinh thể mana từ những ngôi sao sa ngã và sử dụng nó
Achievement_Hold_on_Tight!.png,Hold on Tight!,"Trang bị móc và sử dụng nó "
Achievement_Eye_on_You.png,Eye on You,Đánh bại Eye of Cthulhu
Achievement_Smashing_Poppet!.png,"Smashing, Poppet!","Sử dụng thuốc nổ hoặc sử dụng trusty hammer của bạn, đập vỡ Quả cầu bóng tối hoặc Trái tim đỏ thẫm ở những nơi xấu xa trên thế giới của bạn"
Achievement_Worm_Fodder.png,Worm Fodder,Đánh bại Eater of Worlds
Achievement_Mastermind.png,Mastermind,Đánh bại Brain of Cthulhu
Achievement_Wheres_My_Honey.png,Where's My Honey?,Khám phá một tổ ong lớn sâu trong rừng rậm
Achievement_Sting_Operation.png,Sting Operation,Đánh bại Nữ hoàng ong
Achievement_Boned.png,Boned,"Đánh bại Skeletron, người bảo vệ bị nguyền rủa của ngục tối"
Achievement_Dungeon_Heist.png,Dungeon Heist,Trộm chìa khóa từ những cư dân xác sống trong ngục tối và mở khóa một trong những chiếc rương vàng quý giá của họ
Achievement_Its_Getting_Hot_in_Here.png,It's Getting Hot in Here,"Đào sâu xuống lòng đất cho tới khi tìm thấy địa ngục "
Achievement_Miner_for_Fire.png,Miner for Fire,"Chế tạo một chiếc cuốc nóng chảy bằng đá địa ngục "
Achievement_Still_Hungry.png,,"Đánh bại Bức tường Thịt, chủ nhân địa ngục "
Achievement_Its_Hard!.png,It's Hard!,Giải phóng những linh hồn cổ xưa của ánh sáng và bóng tối trên khắp thế giới bằng cách sử dụng Pwnhammer đập vỡ Demon / Crimson Altar
Achievement_Begone_Evil!.png,"Begone, Evil!",Sử dụng Pwnhammer đập vỡ Demon / Crimson Altar
